Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

1292 : 2584 -> 2584, collisions 4
1292 : 2584 -> 2584, collisions 20

5965 : 11930 -> 11930, collisions 0
5965 : 11930 -> 11930, collisions 0
5965 : 11930 -> 11930, collisions 0

6875 : 13750 -> 13750, collisions 4
6875 : 13750 -> 13750, collisions 6
6875 : 13750 -> 13750, collisions 0

9482 : 18964 -> 18964, collisions 2
9482 : 18964 -> 18964, collisions 4
9482 : 18964 -> 18964, collisions 2

4718 : 9436 -> 9436, collisions 14
4718 : 9436 -> 9436, collisions 4
4718 : 9436 -> 9436, collisions 0

1572 : 3144 -> 3144, collisions 8
1572 : 3144 -> 3144, collisions 2
1572 : 3144 -> 3144, collisions 2

1921 : 3842 -> 3842, collisions 0
1921 : 3842 -> 3842, collisions 0
1921 : 3842 -> 3842, collisions 10

7772 : 15544 -> 15544, collisions 0
7772 : 15544 -> 15544, collisions 4
7772 : 15544 -> 15544, collisions 0

5533 : 11066 -> 11066, collisions 20
5533 : 11066 -> 11066, collisions 12
5533 : 11066 -> 11066, collisions 14

212 : 424 -> 424, collisions 6
212 : 424 -> 424, collisions 10
212 : 424 -> 424, collisions 2

245 : 490 -> 490, collisions 18
245 : 490 -> 490, collisions 8
245 : 490 -> 490, collisions 2

434 : 868 -> 868, collisions 2
434 : 868 -> 868, collisions 2
434 : 868 -> 868, collisions 0

6258 : 12516 -> 12516, collisions 4
6258 : 12516 -> 12516, collisions 2
6258 : 12516 -> 12516, collisions 2

3077 : 6154 -> 6154, collisions 0
3077 : 6154 -> 6154, collisions 0
3077 : 6154 -> 6154, collisions 10

4650 : 9300 -> 9300, collisions 20
4650 : 9300 -> 9300, collisions 14
4650 : 9300 -> 9300, collisions 12

9800 : 19600 -> 19600, collisions 4
9800 : 19600 -> 19600, collisions 6
9800 : 19600 -> 19600, collisions 6

6203 : 12406 -> 12406, collisions 6
6203 : 12406 -> 12406, collisions 16
6203 : 12406 -> 12406, collisions 10

4579 : 9158 -> 9158, collisions 26
4579 : 9158 -> 9158, collisions 16
4579 : 9158 -> 9158, collisions 8

5324 : 10648 -> 10648, collisions 0
5324 : 10648 -> 10648, collisions 0
5324 : 10648 -> 10648, collisions 4

4720 : 9440 -> 9440, collisions 2
4720 : 9440 -> 9440, collisions 4
4720 : 9440 -> 9440, collisions 8

5578 : 11156 -> 11156, collisions 24
5578 : 11156 -> 11156, collisions 6
5578 : 11156 -> 11156, collisions 16

2016 : 4032 -> 4032, collisions 76
2016 : 4032 -> 4032, collisions 14
2016 : 4032 -> 4032, collisions 0

735 : 1470 -> 1470, collisions 8
735 : 1470 -> 1470, collisions 0
735 : 1470 -> 1470, collisions 0

1532 : 3064 -> 3064, collisions 14
1532 : 3064 -> 3064, collisions 12
1532 : 3064 -> 3064, collisions 0

1926 : 3852 -> 3852, collisions 16
1926 : 3852 -> 3852, collisions 24
1926 : 3852 -> 3852, collisions 4

7014 : 14028 -> 14028, collisions 50
7014 : 14028 -> 14028, collisions 20
7014 : 14028 -> 14028, collisions 4

3712 : 7424 -> 7424, collisions 28
3712 : 7424 -> 7424, collisions 10
3712 : 7424 -> 7424, collisions 14

5122 : 10244 -> 10244, collisions 26
5122 : 10244 -> 10244, collisions 22
5122 : 10244 -> 10244, collisions 10

6069 : 12138 -> 12138, collisions 0
6069 : 12138 -> 12138, collisions 2
6069 : 12138 -> 12138, collisions 10

6127 : 12254 -> 12254, collisions 0
6127 : 12254 -> 12254, collisions 0
6127 : 12254 -> 12254, collisions 2

3937 : 7874 -> 7874, collisions 0
3937 : 7874 -> 7874, collisions 8
3937 : 7874 -> 7874, collisions 4

1473 : 2946 -> 2946, collisions 0
1473 : 2946 -> 2946, collisions 4
1473 : 2946 -> 2946, collisions 22

7645 : 15290 -> 15290, collisions 10
7645 : 15290 -> 15290, collisions 12
7645 : 15290 -> 15290, collisions 14

931 : 1862 -> 1862, collisions 4
931 : 1862 -> 1862, collisions 12
931 : 1862 -> 1862, collisions 8

7972 : 15944 -> 15944, collisions 26
7972 : 15944 -> 15944, collisions 4
7972 : 15944 -> 15944, collisions 16

4834 : 9668 -> 9668, collisions 42
4834 : 9668 -> 9668, collisions 6
4834 : 9668 -> 9668, collisions 16

9976 : 19952 -> 19952, collisions 74
9976 : 19952 -> 19952, collisions 54
9976 : 19952 -> 19952, collisions 10

2254 : 4508 -> 4508, collisions 16
2254 : 4508 -> 4508, collisions 16
2254 : 4508 -> 4508, collisions 8

9675 : 19350 -> 19350, collisions 0
9675 : 19350 -> 19350, collisions 0
9675 : 19350 -> 19350, collisions 4

2249 : 4498 -> 4498, collisions 16
2249 : 4498 -> 4498, collisions 0
2249 : 4498 -> 4498, collisions 76

8325 : 16650 -> 16650, collisions 160
8325 : 16650 -> 16650, collisions 18
8325 : 16650 -> 16650, collisions 2

9936 : 19872 -> 19872, collisions 138
9936 : 19872 -> 19872, collisions 24
9936 : 19872 -> 19872, collisions 8

7904 : 15808 -> 15808, collisions 186
7904 : 15808 -> 15808, collisions 14
7904 : 15808 -> 15808, collisions 20

9893 : 19786 -> 19786, collisions 214
9893 : 19786 -> 19786, collisions 38
9893 : 19786 -> 19786, collisions 6

1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0
1606 : 3212 -> 3212, collisions 0

7015 : 14030 -> 14030, collisions 34
7015 : 14030 -> 14030, collisions 0
7015 : 14030 -> 14030, collisions 20

